date,open,high,low,close,adjusted_close,volume,ticker
2024-09-12,4.8749,4.8845,4.8522,4.8689,4.8689,16603,AMEM.XETRA
2024-09-13,4.884,4.9,4.8735,4.9,4.9,15503,AMEM.XETRA
2024-09-16,4.8929,4.8969,4.8737,4.8737,4.8737,813103,AMEM.XETRA
2024-09-17,4.903,4.9144,4.8989,4.9029,4.9029,150805,AMEM.XETRA
2024-09-18,4.9032,4.9092,4.883,4.883,4.883,114522,AMEM.XETRA
2024-09-19,4.9457,4.9641,4.9358,4.9638,4.9638,73151,AMEM.XETRA
2024-09-20,4.962,4.9783,4.9528,4.9595,4.9595,61020,AMEM.XETRA
2024-09-23,4.9741,5.0206,4.9741,5.0186,5.0186,27921,AMEM.XETRA
2024-09-24,5.093,5.1466,5.0854,5.1462,5.1462,441020,AMEM.XETRA
2024-09-25,5.0868,5.1426,5.0868,5.14,5.14,217284,AMEM.XETRA
2024-09-26,5.2154,5.3258,5.2092,5.2818,5.2818,716922,AMEM.XETRA
2024-09-27,5.292,5.3232,5.2802,5.2922,5.2922,586853,AMEM.XETRA
2024-09-30,5.2936,5.3106,5.232,5.232,5.232,254768,AMEM.XETRA
2024-10-01,5.243,5.2782,5.2208,5.2566,5.2566,402792,AMEM.XETRA
2024-10-02,5.3746,5.408,5.3414,5.364,5.364,471157,AMEM.XETRA
2024-10-03,5.3576,5.3774,5.2806,5.3322,5.3322,193858,AMEM.XETRA
2024-10-04,5.3854,5.4022,5.363,5.3798,5.3798,146832,AMEM.XETRA
2024-10-07,5.4418,5.4514,5.4168,5.4266,5.4266,144699,AMEM.XETRA
2024-10-08,5.2846,5.3198,5.2338,5.3074,5.3074,321111,AMEM.XETRA
2024-10-09,5.2638,5.3034,5.248,5.3034,5.3034,126925,AMEM.XETRA
2024-10-10,5.3062,5.3122,5.2804,5.3098,5.3098,97302,AMEM.XETRA
2024-10-11,5.2782,5.3356,5.2746,5.3356,5.3356,70658,AMEM.XETRA
2024-10-14,5.33,5.3606,5.3136,5.3396,5.3396,227712,AMEM.XETRA
2024-10-15,5.2944,5.2998,5.2468,5.252,5.252,238073,AMEM.XETRA
2024-10-16,5.2696,5.3004,5.2622,5.3004,5.3004,181069,AMEM.XETRA
2024-10-17,5.2934,5.2994,5.2686,5.296,5.296,472071,AMEM.XETRA
2024-10-18,5.3452,5.373,5.3336,5.3402,5.3402,534670,AMEM.XETRA
2024-10-21,5.3022,5.3058,5.2756,5.2844,5.2844,168620,AMEM.XETRA
2024-10-22,5.2956,5.3102,5.2662,5.2934,5.2934,95840,AMEM.XETRA
2024-10-23,5.3218,5.3286,5.286,5.2908,5.2908,71288,AMEM.XETRA
2024-10-24,5.278,5.2862,5.25,5.253,5.253,27539,AMEM.XETRA
2024-10-25,5.2576,5.2754,5.2552,5.274,5.274,100489,AMEM.XETRA
2024-10-28,5.2716,5.2806,5.2482,5.273,5.273,39456,AMEM.XETRA
2024-10-29,5.2452,5.301,5.2452,5.2684,5.2684,107432,AMEM.XETRA
2024-10-30,5.2218,5.2242,5.1826,5.1826,5.1826,87719,AMEM.XETRA
2024-10-31,5.1518,5.1614,5.1194,5.1344,5.1344,85155,AMEM.XETRA
2024-11-01,5.176,5.197,5.168,5.19,5.19,148853,AMEM.XETRA
2024-11-04,5.1732,5.1998,5.1714,5.1902,5.1902,94738,AMEM.XETRA
2024-11-05,5.2304,5.2384,5.213,5.2276,5.2276,43494,AMEM.XETRA
2024-11-06,5.2552,5.2652,5.2092,5.236,5.236,337102,AMEM.XETRA
2024-11-07,5.2994,5.3252,5.2916,5.3202,5.3202,152011,AMEM.XETRA
2024-11-08,5.3026,5.3026,5.2214,5.2304,5.2304,296692,AMEM.XETRA
2024-11-11,5.2662,5.2662,5.2334,5.234,5.234,275847,AMEM.XETRA
2024-11-12,5.1746,5.1808,5.149,5.1574,5.1574,74062,AMEM.XETRA
2024-11-13,5.1614,5.1694,5.1342,5.1452,5.1452,64178,AMEM.XETRA
2024-11-14,5.1296,5.1534,5.1296,5.1384,5.1384,292077,AMEM.XETRA
2024-11-15,5.1368,5.151,5.1208,5.1264,5.1264,103445,AMEM.XETRA
2024-11-18,5.1444,5.1622,5.1356,5.1622,5.1622,289035,AMEM.XETRA
2024-11-19,5.1894,5.1912,5.1362,5.1686,5.1686,50880,AMEM.XETRA
2024-11-20,5.1764,5.181,5.158,5.1644,5.1644,66409,AMEM.XETRA
2024-11-21,5.1534,5.1758,5.139,5.1758,5.1758,45174,AMEM.XETRA
2024-11-22,5.1764,5.2424,5.1764,5.2236,5.2236,308622,AMEM.XETRA
2024-11-25,5.2228,5.2228,5.1854,5.195,5.195,343216,AMEM.XETRA
2024-11-26,5.1708,5.1876,5.1652,5.183,5.183,132590,AMEM.XETRA
2024-11-27,5.192,5.195,5.1252,5.1254,5.1254,65847,AMEM.XETRA
2024-11-28,5.118,5.12,5.106,5.1078,5.1078,67092,AMEM.XETRA
2024-11-29,5.0904,5.1454,5.0904,5.1428,5.1428,132101,AMEM.XETRA
2024-12-02,5.1648,5.2112,5.1616,5.1896,5.1896,178946,AMEM.XETRA
2024-12-03,5.2176,5.2196,5.1618,5.1936,5.1936,102518,AMEM.XETRA
2024-12-04,5.2202,5.229,5.1936,5.2026,5.2026,229533,AMEM.XETRA
2024-12-05,5.2096,5.2244,5.2088,5.2224,5.2224,161155,AMEM.XETRA
2024-12-06,5.2202,5.231,5.215,5.215,5.215,56358,AMEM.XETRA
2024-12-09,5.2752,5.35,5.2704,5.3356,5.3356,392853,AMEM.XETRA
2024-12-10,5.251,5.2814,5.251,5.2664,5.2664,20311,AMEM.XETRA
2024-12-11,5.261,5.28,5.2562,5.2788,5.2788,27335,AMEM.XETRA
2024-12-12,5.3092,5.3224,5.2664,5.2744,5.2744,110920,AMEM.XETRA
2024-12-13,5.2806,5.2818,5.254,5.26,5.26,178430,AMEM.XETRA
2024-12-16,5.2484,5.267,5.2404,5.2406,5.2406,99292,AMEM.XETRA
2024-12-17,5.2128,5.2234,5.1924,5.2234,5.2234,154167,AMEM.XETRA
2024-12-18,5.241,5.2436,5.222,5.2326,5.2326,84173,AMEM.XETRA
2024-12-19,5.1974,5.2092,5.1892,5.204,5.204,170709,AMEM.XETRA
2024-12-20,5.1704,5.1936,5.1332,5.187,5.187,174557,AMEM.XETRA
2024-12-23,5.196,5.2046,5.1854,5.1976,5.1976,227554,AMEM.XETRA
2024-12-27,5.1738,5.1968,5.1632,5.1794,5.1794,377553,AMEM.XETRA
2024-12-30,5.1656,5.1674,5.1468,5.1468,5.1468,39638,AMEM.XETRA
2025-01-02,5.1608,5.2284,5.1576,5.2284,5.2284,263465,AMEM.XETRA
2025-01-03,5.2248,5.2322,5.2128,5.2278,5.2278,641807,AMEM.XETRA
2025-01-06,5.2204,5.2608,5.2136,5.2236,5.2236,371095,AMEM.XETRA
2025-01-07,5.1964,5.2196,5.1928,5.198,5.198,93304,AMEM.XETRA
2025-01-08,5.1782,5.202,5.1654,5.1802,5.1802,188336,AMEM.XETRA
2025-01-09,5.1702,5.1894,5.1686,5.1846,5.1846,64714,AMEM.XETRA
2025-01-10,5.1572,5.1598,5.107,5.1242,5.1242,353610,AMEM.XETRA
2025-01-13,5.1002,5.106,5.076,5.0902,5.0902,450126,AMEM.XETRA
2025-01-14,5.1406,5.1526,5.1058,5.1154,5.1154,64332,AMEM.XETRA
2025-01-15,5.1084,5.1764,5.1076,5.1762,5.1762,185543,AMEM.XETRA
2025-01-16,5.2276,5.231,5.191,5.191,5.191,285333,AMEM.XETRA
2025-01-17,5.1954,5.2404,5.1886,5.2356,5.2356,74563,AMEM.XETRA
2025-01-20,5.2444,5.2578,5.2184,5.2518,5.2518,54887,AMEM.XETRA
2025-01-21,5.2242,5.2364,5.198,5.2092,5.2092,110673,AMEM.XETRA
2025-01-22,5.1938,5.22,5.1938,5.2166,5.2166,372412,AMEM.XETRA
2025-01-23,5.217,5.2252,5.1992,5.2224,5.2224,114883,AMEM.XETRA
2025-01-24,5.2252,5.2278,5.2,5.2206,5.2206,31443,AMEM.XETRA
2025-01-27,5.1446,5.1498,5.0868,5.1168,5.1168,165172,AMEM.XETRA
2025-01-28,5.1462,5.1646,5.1362,5.1446,5.1446,62553,AMEM.XETRA
2025-01-29,5.232,5.2538,5.2224,5.2268,5.2268,126299,AMEM.XETRA
2025-01-30,5.2224,5.2902,5.2216,5.2902,5.2902,132603,AMEM.XETRA
2025-01-31,5.3126,5.3258,5.2988,5.3012,5.3012,67671,AMEM.XETRA
2025-02-03,5.2382,5.2838,5.2224,5.2838,5.2838,205491,AMEM.XETRA
2025-02-04,5.2998,5.329,5.29,5.329,5.329,71918,AMEM.XETRA
2025-02-05,5.2814,5.2896,5.2624,5.282,5.282,107743,AMEM.XETRA
2025-02-06,5.2956,5.323,5.2956,5.317,5.317,28950,AMEM.XETRA
2025-02-07,5.3484,5.3692,5.3394,5.343,5.343,114143,AMEM.XETRA
2025-02-10,5.3726,5.4042,5.3726,5.3986,5.3986,156889,AMEM.XETRA
2025-02-11,5.3562,5.3818,5.3432,5.3742,5.3742,326390,AMEM.XETRA
2025-02-12,5.3784,5.383,5.347,5.3674,5.3674,300864,AMEM.XETRA
2025-02-13,5.349,5.3714,5.3348,5.3714,5.3714,121906,AMEM.XETRA
2025-02-14,5.3856,5.388,5.3658,5.3696,5.3696,40128,AMEM.XETRA
2025-02-17,5.4086,5.429,5.406,5.425,5.425,77553,AMEM.XETRA
2025-02-18,5.4492,5.4746,5.4492,5.4648,5.4648,292484,AMEM.XETRA
2025-02-19,5.4856,5.4946,5.4586,5.4746,5.4746,122108,AMEM.XETRA
2025-02-20,5.4532,5.5176,5.4478,5.4754,5.4754,93620,AMEM.XETRA
2025-02-21,5.5024,5.5328,5.5,5.5238,5.5238,106065,AMEM.XETRA
2025-02-24,5.4592,5.4666,5.3954,5.4036,5.4036,305234,AMEM.XETRA
2025-02-25,5.3872,5.3906,5.35,5.366,5.366,91176,AMEM.XETRA
2025-02-26,5.4474,5.4614,5.4376,5.4562,5.4562,392314,AMEM.XETRA
2025-02-27,5.4076,5.43,5.3814,5.4176,5.4176,44504,AMEM.XETRA
2025-02-28,5.278,5.2994,5.2514,5.2846,5.2846,73213,AMEM.XETRA
2025-03-03,5.3098,5.3098,5.25,5.276,5.276,204727,AMEM.XETRA
2025-03-04,5.2358,5.2398,5.1804,5.1916,5.1916,166384,AMEM.XETRA
2025-03-05,5.2508,5.2576,5.2008,5.2166,5.2166,151155,AMEM.XETRA
2025-03-06,5.2564,5.2652,5.2294,5.2408,5.2408,139305,AMEM.XETRA
2025-03-07,5.2386,5.2398,5.192,5.192,5.192,263458,AMEM.XETRA
2025-03-10,5.1926,5.1926,5.1144,5.1284,5.1284,165939,AMEM.XETRA
2025-03-11,5.1262,5.1444,5.0792,5.1006,5.1006,105958,AMEM.XETRA
2025-03-12,5.123,5.15,5.1028,5.1416,5.1416,124574,AMEM.XETRA
2025-03-13,5.1156,5.1484,5.1074,5.1418,5.1418,36978,AMEM.XETRA
2025-03-14,5.1858,5.2256,5.1858,5.2146,5.2146,134071,AMEM.XETRA
2025-03-17,5.2242,5.283,5.2192,5.283,5.283,140565,AMEM.XETRA
2025-03-18,5.2826,5.292,5.2596,5.2748,5.2748,184394,AMEM.XETRA
2025-03-19,5.2798,5.3052,5.2778,5.2962,5.2962,64511,AMEM.XETRA
2025-03-20,5.2846,5.2904,5.2574,5.266,5.266,76424,AMEM.XETRA
2025-03-21,5.2558,5.2602,5.232,5.2602,5.2602,53292,AMEM.XETRA
2025-03-24,5.2942,5.302,5.276,5.3002,5.3002,85131,AMEM.XETRA
2025-03-25,5.2696,5.2948,5.2616,5.283,5.283,89011,AMEM.XETRA
2025-03-26,5.2916,5.2932,5.2698,5.2698,5.2698,26282,AMEM.XETRA
2025-03-27,5.2832,5.3036,5.2616,5.2942,5.2942,644322,AMEM.XETRA
2025-03-28,5.2322,5.246,5.1698,5.1704,5.1704,202838,AMEM.XETRA
2025-03-31,5.1228,5.1434,5.1,5.1434,5.1434,106057,AMEM.XETRA
2025-04-01,5.187,5.196,5.148,5.1918,5.1918,169269,AMEM.XETRA
2025-04-02,5.1892,5.1974,5.1564,5.1614,5.1614,383783,AMEM.XETRA
2025-04-03,5.0442,5.0476,4.935,4.9829,4.9829,307186,AMEM.XETRA
2025-04-04,4.9551,4.9635,4.6824,4.7361,4.7361,1504236,AMEM.XETRA
2025-04-07,4.461,4.6577,4.43,4.5818,4.5818,327958,AMEM.XETRA
2025-04-08,4.617,4.6919,4.5934,4.6459,4.6459,457395,AMEM.XETRA
2025-04-09,4.5074,4.5743,4.4371,4.4621,4.4621,126205,AMEM.XETRA
2025-04-10,4.8097,4.8224,4.6125,4.6125,4.6125,362704,AMEM.XETRA
2025-04-11,4.6594,4.6701,4.579,4.6332,4.6332,130035,AMEM.XETRA
2025-04-14,4.6983,4.7733,4.6983,4.7397,4.7397,109395,AMEM.XETRA
2025-04-15,4.7588,4.7867,4.7435,4.7867,4.7867,300587,AMEM.XETRA
2025-04-16,4.6912,4.7341,4.688,4.7304,4.7304,226774,AMEM.XETRA
2025-04-17,4.7369,4.751,4.7217,4.7301,4.7301,263924,AMEM.XETRA
2025-04-22,4.7094,4.7469,4.7049,4.7442,4.7442,186862,AMEM.XETRA
2025-04-23,4.8458,4.9142,4.8338,4.8626,4.8626,314907,AMEM.XETRA
2025-04-24,4.8341,4.8889,4.8217,4.8889,4.8889,256451,AMEM.XETRA
2025-04-25,4.8857,4.8877,4.8555,4.8639,4.8639,234458,AMEM.XETRA
2025-04-28,4.8953,4.9114,4.8724,4.8724,4.8724,224502,AMEM.XETRA
2025-04-29,4.8923,4.9083,4.8876,4.8978,4.8978,87359,AMEM.XETRA
2025-04-30,4.9325,4.9493,4.8921,4.9193,4.9193,218388,AMEM.XETRA
2025-05-02,5.056,5.1008,5.0534,5.0684,5.0684,500495,AMEM.XETRA
2025-05-05,5.1004,5.1472,5.0996,5.1472,5.1472,394892,AMEM.XETRA
2025-05-06,5.0806,5.1068,5.0554,5.106,5.106,164743,AMEM.XETRA
2025-05-07,5.0592,5.063,5.035,5.042,5.042,187250,AMEM.XETRA
2025-05-08,5.0924,5.0924,5.046,5.0794,5.0794,230486,AMEM.XETRA
2025-05-09,5.1044,5.1326,5.1008,5.1056,5.1056,135499,AMEM.XETRA
2025-05-12,5.2986,5.3198,5.2668,5.2826,5.2826,130532,AMEM.XETRA
2025-05-13,5.2508,5.2766,5.2324,5.275,5.275,57404,AMEM.XETRA
2025-05-14,5.2898,5.317,5.278,5.317,5.317,206372,AMEM.XETRA
2025-05-15,5.276,5.302,5.2666,5.302,5.302,338362,AMEM.XETRA
2025-05-16,5.2982,5.3154,5.2942,5.3154,5.3154,70959,AMEM.XETRA
2025-05-19,5.2688,5.2824,5.2336,5.2824,5.2824,83016,AMEM.XETRA
2025-05-20,5.2666,5.2824,5.2556,5.2666,5.2666,130605,AMEM.XETRA
2025-05-21,5.2562,5.2732,5.2534,5.266,5.266,71995,AMEM.XETRA
2025-05-22,5.2236,5.2412,5.2086,5.2412,5.2412,106346,AMEM.XETRA
2025-05-23,5.237,5.2476,5.1888,5.2188,5.2188,232761,AMEM.XETRA
