date,open,high,low,close,adjusted_close,volume,ticker
2024-09-12,73.814,73.958,73.354,73.736,73.736,20234,DBXJ.XETRA
2024-09-13,73.628,73.956,73.45,73.898,73.898,25744,DBXJ.XETRA
2024-09-16,73.758,74.082,73.532,73.734,73.734,16865,DBXJ.XETRA
2024-09-17,73.184,73.658,73.12,73.43,73.43,21170,DBXJ.XETRA
2024-09-18,72.874,73.03,72.636,72.75,72.75,11512,DBXJ.XETRA
2024-09-19,73.896,74.612,73.708,74.484,74.484,28055,DBXJ.XETRA
2024-09-20,74.624,75.048,74.236,74.554,74.554,15891,DBXJ.XETRA
2024-09-23,74.864,75.344,74.796,75.22,75.22,23247,DBXJ.XETRA
2024-09-24,74.554,74.746,74.304,74.574,74.574,17558,DBXJ.XETRA
2024-09-25,74.048,74.458,74.012,74.396,74.396,14983,DBXJ.XETRA
2024-09-26,75.708,76.484,75.634,76.062,76.062,21489,DBXJ.XETRA
2024-09-27,75.224,75.62,74.338,75.164,75.164,29163,DBXJ.XETRA
2024-09-30,75.232,75.576,74.842,75.034,75.034,63397,DBXJ.XETRA
2024-10-01,75.816,76.288,75.39,75.598,75.598,45527,DBXJ.XETRA
2024-10-02,75.282,75.36,74.864,75.36,75.36,21713,DBXJ.XETRA
2024-10-03,75.046,75.188,74.626,75.084,75.084,9292,DBXJ.XETRA
2024-10-04,75.284,76.378,75.28,76.148,76.148,31964,DBXJ.XETRA
2024-10-07,76.192,76.28,75.57,75.724,75.724,25585,DBXJ.XETRA
2024-10-08,75.142,75.974,75.026,75.91,75.91,20765,DBXJ.XETRA
2024-10-09,75.368,75.636,75.108,75.636,75.636,42935,DBXJ.XETRA
2024-10-10,75.304,75.586,74.966,75.586,75.586,38067,DBXJ.XETRA
2024-10-11,75.47,75.846,75.1,75.726,75.726,33605,DBXJ.XETRA
2024-10-14,75.76,76.112,75.55,76.046,76.046,46843,DBXJ.XETRA
2024-10-15,75.842,75.894,75.116,75.116,75.116,13747,DBXJ.XETRA
2024-10-16,74.864,75.226,74.774,75.146,75.146,12650,DBXJ.XETRA
2024-10-17,75.4,75.904,75.238,75.464,75.464,24184,DBXJ.XETRA
2024-10-18,75.018,75.43,75.002,75.284,75.284,20168,DBXJ.XETRA
2024-10-21,75.01,75.124,74.282,74.286,74.286,17152,DBXJ.XETRA
2024-10-22,73.748,73.872,73.346,73.394,73.394,16423,DBXJ.XETRA
