date,open,high,low,close,adjusted_close,volume,ticker
2024-11-11,87.96,88.48,87.75,87.99,87.518,71397,EXI2.XETRA
2024-11-12,87.91,88.09,87.59,87.79,87.3191,39405,EXI2.XETRA
2024-11-13,87.79,88.16,87.54,88.14,87.6672,24616,EXI2.XETRA
2024-11-14,88.45,88.87,87.98,88.09,87.6175,37576,EXI2.XETRA
2024-11-15,87.47,87.47,86.62,86.78,86.3145,40881,EXI2.XETRA
2024-11-18,86.6,86.75,86.08,86.69,86.225,58430,EXI2.XETRA
2024-11-19,86.77,86.78,85.57,86.78,86.3145,52947,EXI2.XETRA
2024-11-20,87.38,87.52,86.5,86.87,86.404,18930,EXI2.XETRA
2024-11-21,87.25,87.82,86.31,87.3,86.8317,47207,EXI2.XETRA
2024-11-22,87.72,88.57,87.7,88.34,87.8661,44411,EXI2.XETRA
2024-11-25,88.46,88.46,87.55,87.87,87.3987,75294,EXI2.XETRA
2024-11-26,87.73,88.59,87.42,88.59,88.1148,24986,EXI2.XETRA
2024-11-27,88.16,88.18,86.95,86.95,86.4836,39058,EXI2.XETRA
2024-11-28,87.92,87.92,87.47,87.61,87.1401,20657,EXI2.XETRA
2024-11-29,87.43,88.01,87.32,88.01,87.5379,17316,EXI2.XETRA
2024-12-02,88.45,89.46,88.2,89.46,88.9801,69492,EXI2.XETRA
2024-12-03,89.3,89.47,88.81,89.46,88.9801,13923,EXI2.XETRA
2024-12-04,89.87,90.37,89.82,90.05,89.567,32686,EXI2.XETRA
2024-12-05,90.18,90.4,89.86,90.14,89.6565,27726,EXI2.XETRA
2024-12-06,89.97,90.79,89.79,90.66,90.1737,28146,EXI2.XETRA
2024-12-09,91.08,91.08,90.15,90.51,90.0245,31577,EXI2.XETRA
2024-12-10,90.47,91.37,90.44,90.8,90.3129,43781,EXI2.XETRA
2024-12-11,90.92,92.19,90.84,92.19,91.6955,38241,EXI2.XETRA
2024-12-12,92.1,92.31,91.71,91.93,91.4369,23452,EXI2.XETRA
2024-12-13,92.39,92.42,91.6,91.91,91.417,42356,EXI2.XETRA
2024-12-16,91.94,92.82,91.85,92.69,92.262,36847,EXI2.XETRA
2024-12-17,92.74,93.05,92.37,93.05,92.6203,30522,EXI2.XETRA
2024-12-18,93.01,93.37,92.66,93.26,92.8294,28025,EXI2.XETRA
2024-12-19,91.27,91.99,91.09,91.91,91.4856,64922,EXI2.XETRA
2024-12-20,90.63,91.88,89.3,91.88,91.4557,54682,EXI2.XETRA
2024-12-23,91.84,91.93,91.42,91.52,91.0974,18003,EXI2.XETRA
2024-12-27,92.85,93.1,91.71,92.05,91.6249,16297,EXI2.XETRA
2024-12-30,91.97,92.06,90.99,91.05,90.6296,28170,EXI2.XETRA
2025-01-02,91.68,92.48,91.48,92.48,92.053,70578,EXI2.XETRA
2025-01-03,92.0,92.46,91.78,92.38,91.9534,48876,EXI2.XETRA
2025-01-06,92.65,93.38,92.46,93.37,92.9388,106941,EXI2.XETRA
2025-01-07,92.55,93.45,92.12,92.3,91.8738,72011,EXI2.XETRA
2025-01-08,92.25,92.71,92.0,92.32,91.8937,51236,EXI2.XETRA
2025-01-09,92.08,92.52,91.94,92.51,92.0828,22642,EXI2.XETRA
2025-01-10,92.02,92.4,91.0,91.36,90.9381,48624,EXI2.XETRA
2025-01-13,91.15,91.23,90.54,91.0,90.5798,44762,EXI2.XETRA
2025-01-14,91.8,91.93,90.4,90.61,90.1916,50733,EXI2.XETRA
2025-01-15,90.36,92.0,90.31,91.96,91.5354,114139,EXI2.XETRA
2025-01-16,92.95,92.95,92.2,92.3,91.8738,30096,EXI2.XETRA
2025-01-17,92.14,93.25,92.04,92.93,92.5009,20374,EXI2.XETRA
2025-01-20,92.75,92.88,92.12,92.53,92.1027,55220,EXI2.XETRA
2025-01-21,92.39,92.8,91.88,92.19,91.7643,141628,EXI2.XETRA
2025-01-22,92.91,93.81,92.76,93.81,93.3768,65007,EXI2.XETRA
2025-01-23,93.31,93.73,93.09,93.65,93.2176,31100,EXI2.XETRA
2025-01-24,93.47,93.65,93.01,93.05,92.6203,61141,EXI2.XETRA
2025-01-27,91.24,91.31,88.83,90.63,90.2115,76186,EXI2.XETRA
2025-01-28,91.84,92.43,91.39,92.29,91.8638,83462,EXI2.XETRA
