date,open,high,low,close,adjusted_close,volume,ticker
2024-11-11,48.77,49.08,48.72,48.85,47.5993,198684,EXW1.XETRA
2024-11-12,48.365,48.555,47.73,47.765,46.5421,392498,EXW1.XETRA
2024-11-13,47.58,47.91,47.295,47.685,46.4641,570264,EXW1.XETRA
2024-11-14,47.885,48.66,47.865,48.625,47.38,498708,EXW1.XETRA
2024-11-15,48.28,48.61,48.135,48.2,46.9659,215117,EXW1.XETRA
2024-11-18,48.285,48.36,47.945,48.28,47.0439,226859,EXW1.XETRA
2024-11-19,48.355,48.365,47.23,47.865,46.6395,332500,EXW1.XETRA
2024-11-20,48.125,48.215,47.5,47.635,46.4154,580450,EXW1.XETRA
2024-11-21,47.64,47.885,47.225,47.86,46.6346,428630,EXW1.XETRA
2024-11-22,48.17,48.305,47.56,48.205,46.9708,248100,EXW1.XETRA
2024-11-25,48.63,48.645,48.24,48.31,47.0731,607355,EXW1.XETRA
2024-11-26,47.95,48.255,47.81,47.99,46.7613,887061,EXW1.XETRA
2024-11-27,47.745,47.81,47.43,47.745,46.5226,613427,EXW1.XETRA
2024-11-28,48.045,48.175,47.85,47.985,46.7564,102251,EXW1.XETRA
2024-11-29,47.865,48.46,47.82,48.41,47.1705,461169,EXW1.XETRA
2024-12-02,48.05,48.9,48.045,48.855,47.6042,384137,EXW1.XETRA
2024-12-03,49.055,49.405,48.94,49.175,47.916,481724,EXW1.XETRA
2024-12-04,49.38,49.725,49.365,49.625,48.3544,662281,EXW1.XETRA
2024-12-05,49.64,49.975,49.62,49.91,48.6321,118279,EXW1.XETRA
2024-12-06,49.885,50.27,49.865,50.19,48.905,655959,EXW1.XETRA
2024-12-09,50.42,50.44,50.16,50.24,48.9537,258509,EXW1.XETRA
2024-12-10,50.13,50.2,49.925,49.955,48.676,142849,EXW1.XETRA
2024-12-11,49.905,50.09,49.855,50.03,48.7491,95518,EXW1.XETRA
2024-12-12,50.16,50.16,49.96,50.05,48.7686,379883,EXW1.XETRA
2024-12-13,50.07,50.32,49.93,50.06,48.7783,109971,EXW1.XETRA
2024-12-16,49.82,49.88,49.67,49.725,48.5709,616211,EXW1.XETRA
2024-12-17,49.575,49.94,49.555,49.725,48.5709,579716,EXW1.XETRA
2024-12-18,49.775,49.94,49.68,49.795,48.6393,931423,EXW1.XETRA
2024-12-19,49.11,49.31,48.91,49.055,47.9165,384273,EXW1.XETRA
2024-12-20,48.675,48.945,48.295,48.935,47.7992,962735,EXW1.XETRA
2024-12-23,48.685,48.85,48.59,48.76,47.6283,77417,EXW1.XETRA
2024-12-27,48.715,49.205,48.715,49.205,48.063,87204,EXW1.XETRA
2024-12-30,49.035,49.28,48.995,49.09,47.9506,36883,EXW1.XETRA
2025-01-02,49.32,49.445,48.72,49.445,48.2974,144537,EXW1.XETRA
2025-01-03,49.38,49.38,48.91,48.96,47.8237,29253,EXW1.XETRA
2025-01-06,49.29,50.16,49.205,50.16,48.9958,197423,EXW1.XETRA
2025-01-07,50.12,50.52,49.945,50.35,49.1814,1406761,EXW1.XETRA
2025-01-08,50.33,50.63,49.96,50.25,49.0837,106113,EXW1.XETRA
2025-01-09,49.96,50.46,49.955,50.43,49.2595,1481928,EXW1.XETRA
2025-01-10,50.39,50.58,49.965,50.04,48.8786,976662,EXW1.XETRA
2025-01-13,49.79,49.895,49.435,49.8,48.6442,222739,EXW1.XETRA
2025-01-14,50.22,50.39,50.04,50.08,48.9177,105520,EXW1.XETRA
2025-01-15,50.15,50.78,50.06,50.65,49.4744,163908,EXW1.XETRA
2025-01-16,51.21,51.33,51.05,51.33,50.1387,108243,EXW1.XETRA
2025-01-17,51.5,51.84,51.48,51.76,50.5587,7564715,EXW1.XETRA
2025-01-20,51.88,52.12,51.7,51.95,50.7443,740917,EXW1.XETRA
2025-01-21,51.88,51.99,51.82,51.95,50.7443,316856,EXW1.XETRA
2025-01-22,52.11,52.55,52.08,52.37,51.1545,725822,EXW1.XETRA
2025-01-23,52.28,52.51,52.15,52.51,51.2913,510754,EXW1.XETRA
2025-01-24,52.81,52.92,52.4,52.5,51.2815,619415,EXW1.XETRA
2025-01-27,51.93,52.34,51.66,52.19,50.9787,314365,EXW1.XETRA
2025-01-28,52.28,52.53,52.13,52.28,51.0666,247510,EXW1.XETRA
2025-01-29,52.69,52.75,52.55,52.62,51.3987,315534,EXW1.XETRA
2025-01-30,52.87,53.18,52.84,53.17,51.936,202828,EXW1.XETRA
2025-01-31,53.3,53.48,53.07,53.17,51.936,465883,EXW1.XETRA
2025-02-03,52.16,52.59,52.1,52.51,51.2913,505670,EXW1.XETRA
2025-02-04,52.6,53.0,52.26,52.97,51.7406,167886,EXW1.XETRA
2025-02-05,52.85,53.04,52.77,53.04,51.809,55452,EXW1.XETRA
2025-02-06,53.26,53.98,53.25,53.9,52.649,345216,EXW1.XETRA
