date,open,high,low,close,adjusted_close,volume,ticker
2024-11-11,83.242,84.062,83.242,83.91,78.9852,897,IS3K.XETRA
2024-11-12,83.924,84.198,83.924,83.98,79.0511,1683,IS3K.XETRA
2024-11-13,83.83,84.256,83.598,84.214,79.2714,1596,IS3K.XETRA
2024-11-14,84.228,84.57,84.112,84.19,79.2488,972,IS3K.XETRA
2024-11-15,84.218,84.238,83.956,84.106,79.1697,798,IS3K.XETRA
2024-11-18,84.106,84.292,84.046,84.138,79.1998,676,IS3K.XETRA
2024-11-19,84.082,84.422,84.038,84.252,79.3071,1949,IS3K.XETRA
2024-11-20,84.388,84.748,84.344,84.682,79.7119,1711,IS3K.XETRA
2024-11-21,84.616,85.148,84.6,85.094,80.0997,1032,IS3K.XETRA
2024-11-22,84.546,85.762,84.546,85.698,80.6683,38054,IS3K.XETRA
2024-11-25,85.444,85.444,84.88,85.178,80.1788,16102,IS3K.XETRA
2024-11-26,85.252,85.252,84.994,85.202,80.2014,727,IS3K.XETRA
2024-11-27,85.028,85.028,84.524,84.524,79.5632,3905,IS3K.XETRA
2024-11-28,84.458,84.982,84.458,84.866,79.8851,158,IS3K.XETRA
2024-11-29,84.67,84.948,84.67,84.908,79.9246,1501,IS3K.XETRA
2024-12-02,85.43,85.6,85.044,85.482,80.4649,3436,IS3K.XETRA
2024-12-03,85.192,85.274,85.022,85.218,80.2164,611,IS3K.XETRA
2024-12-04,85.162,85.424,84.87,85.05,80.0583,1802,IS3K.XETRA
2024-12-05,85.184,85.202,84.644,84.874,79.8926,1716,IS3K.XETRA
2024-12-06,84.596,84.862,84.524,84.82,79.8418,5683,IS3K.XETRA
2024-12-09,85.038,85.038,84.578,84.708,79.7364,933,IS3K.XETRA
2024-12-10,84.882,85.224,84.882,85.224,80.2221,3234,IS3K.XETRA
2024-12-11,85.302,85.442,85.212,85.416,80.4028,6726,IS3K.XETRA
2024-12-12,82.548,82.814,82.524,82.636,79.9719,5602,IS3K.XETRA
2024-12-13,82.814,82.83,82.338,82.412,79.7551,1603,IS3K.XETRA
2024-12-16,82.196,82.514,82.178,82.362,79.7067,3832,IS3K.XETRA
2024-12-17,82.494,82.542,82.248,82.342,79.6874,458,IS3K.XETRA
2024-12-18,82.36,82.59,82.348,82.492,79.8325,2441,IS3K.XETRA
2024-12-19,82.59,82.812,82.486,82.686,80.0203,2486,IS3K.XETRA
2024-12-20,82.668,82.838,82.356,82.748,80.0803,969,IS3K.XETRA
2024-12-23,82.932,82.976,82.692,82.728,80.0609,5468,IS3K.XETRA
2024-12-27,82.76,82.988,82.666,82.812,80.1422,8394,IS3K.XETRA
2024-12-30,82.542,82.864,82.426,82.518,79.8577,27400,IS3K.XETRA
2025-01-02,83.53,84.26,83.284,84.258,81.5416,23991,IS3K.XETRA
2025-01-03,84.206,84.206,84.004,84.054,81.3442,466,IS3K.XETRA
2025-01-06,83.66,83.934,83.192,83.486,80.7945,3193,IS3K.XETRA
2025-01-07,83.358,83.534,83.108,83.41,80.7209,3599,IS3K.XETRA
2025-01-08,83.636,84.028,83.636,83.926,81.2203,6834,IS3K.XETRA
2025-01-09,84.17,84.17,83.94,84.094,81.3829,7075,IS3K.XETRA
2025-01-10,84.148,84.412,83.92,84.412,81.6906,3617,IS3K.XETRA
2025-01-13,84.53,84.59,84.214,84.462,81.739,1665,IS3K.XETRA
2025-01-14,84.226,84.298,83.92,83.94,81.2338,4692,IS3K.XETRA
2025-01-15,83.986,84.426,83.82,84.426,81.7042,3723,IS3K.XETRA
2025-01-16,84.498,84.692,84.43,84.43,81.708,13545,IS3K.XETRA
2025-01-17,84.612,84.83,84.374,84.566,81.8397,2744,IS3K.XETRA
2025-01-20,84.818,84.818,83.684,83.854,81.1506,1904,IS3K.XETRA
2025-01-21,84.008,84.322,83.83,83.83,81.1274,1738,IS3K.XETRA
2025-01-22,83.84,83.918,83.518,83.764,81.0635,1665,IS3K.XETRA
2025-01-23,84.076,84.076,83.672,83.81,81.108,2388,IS3K.XETRA
2025-01-24,83.642,83.642,83.058,83.098,80.419,6109,IS3K.XETRA
2025-01-27,83.368,83.368,82.758,83.242,80.5583,18963,IS3K.XETRA
2025-01-28,83.86,83.908,83.728,83.804,81.1022,1546,IS3K.XETRA
2025-01-29,83.88,84.118,83.88,83.96,81.2532,213,IS3K.XETRA
2025-01-30,84.066,84.29,83.832,83.988,81.2803,5945,IS3K.XETRA
