date,open,high,low,close,adjusted_close,volume,ticker
2024-09-12,62.7,62.72,62.23,62.45,62.45,29272,IS3Q.XETRA
2024-09-13,62.7,62.94,62.6,62.94,62.94,19420,IS3Q.XETRA
2024-09-16,62.74,62.82,62.5,62.6,62.6,32143,IS3Q.XETRA
2024-09-17,62.88,63.09,62.81,63.02,63.02,18139,IS3Q.XETRA
2024-09-18,62.9,62.9,62.61,62.65,62.65,14380,IS3Q.XETRA
2024-09-19,63.17,63.57,63.07,63.42,63.42,57691,IS3Q.XETRA
2024-09-20,63.26,63.33,62.88,62.96,62.96,28045,IS3Q.XETRA
2024-09-23,63.01,63.38,63.0,63.32,63.32,46673,IS3Q.XETRA
2024-09-24,63.56,63.61,63.09,63.34,63.34,33086,IS3Q.XETRA
2024-09-25,63.03,63.41,63.03,63.39,63.39,15279,IS3Q.XETRA
2024-09-26,63.87,64.11,63.52,63.52,63.52,72066,IS3Q.XETRA
2024-09-27,63.81,63.85,63.59,63.8,63.8,26837,IS3Q.XETRA
2024-09-30,63.55,63.68,63.19,63.54,63.54,79977,IS3Q.XETRA
2024-10-01,63.86,64.15,63.52,63.75,63.75,51428,IS3Q.XETRA
2024-10-02,63.76,64.03,63.5,64.02,64.02,37685,IS3Q.XETRA
2024-10-03,63.94,64.02,63.65,63.98,63.98,26297,IS3Q.XETRA
2024-10-04,63.93,64.61,63.86,64.2,64.2,39758,IS3Q.XETRA
2024-10-07,64.46,64.47,64.21,64.37,64.37,42266,IS3Q.XETRA
2024-10-08,63.84,64.46,63.81,64.46,64.46,41713,IS3Q.XETRA
2024-10-09,64.4,64.88,64.38,64.88,64.88,23444,IS3Q.XETRA
2024-10-10,65.0,65.09,64.78,65.0,65.0,39537,IS3Q.XETRA
2024-10-11,64.96,65.37,64.79,65.29,65.29,48156,IS3Q.XETRA
2024-10-14,65.44,66.02,65.37,65.95,65.95,37793,IS3Q.XETRA
2024-10-15,66.3,66.33,65.59,65.61,65.61,45633,IS3Q.XETRA
2024-10-16,65.41,65.5,65.2,65.49,65.49,43688,IS3Q.XETRA
2024-10-17,65.81,66.37,65.75,66.04,66.04,20195,IS3Q.XETRA
2024-10-18,65.9,66.06,65.84,65.93,65.93,27289,IS3Q.XETRA
2024-10-21,66.02,66.08,65.73,65.76,65.76,63543,IS3Q.XETRA
2024-10-22,65.84,65.85,65.53,65.73,65.73,29734,IS3Q.XETRA
2024-10-23,65.89,65.97,65.45,65.52,65.52,36895,IS3Q.XETRA
2024-10-24,65.63,65.77,65.31,65.32,65.32,39611,IS3Q.XETRA
2024-10-25,65.28,65.64,65.24,65.48,65.48,19382,IS3Q.XETRA
2024-10-28,65.65,65.67,65.36,65.4,65.4,31937,IS3Q.XETRA
2024-10-29,65.54,65.57,65.3,65.49,65.49,38221,IS3Q.XETRA
2024-10-30,65.5,65.54,64.8,65.04,65.04,46531,IS3Q.XETRA
2024-10-31,64.33,64.44,63.84,63.94,63.94,37568,IS3Q.XETRA
2024-11-01,63.75,64.3,63.73,64.29,64.29,33338,IS3Q.XETRA
2024-11-04,63.95,63.98,63.6,63.78,63.78,29335,IS3Q.XETRA
2024-11-05,63.84,64.05,63.6,64.0,64.0,29623,IS3Q.XETRA
2024-11-06,66.12,66.44,65.43,65.73,65.73,39306,IS3Q.XETRA
2024-11-07,65.94,66.15,65.84,66.11,66.11,29775,IS3Q.XETRA
2024-11-08,66.49,66.65,66.04,66.65,66.65,29175,IS3Q.XETRA
2024-11-11,66.98,67.29,66.98,67.14,67.14,65606,IS3Q.XETRA
2024-11-12,67.01,67.27,66.98,67.09,67.09,31870,IS3Q.XETRA
2024-11-13,66.94,67.23,66.65,67.23,67.23,38330,IS3Q.XETRA
2024-11-14,67.24,67.61,67.1,67.25,67.25,31332,IS3Q.XETRA
2024-11-15,66.71,66.72,66.2,66.2,66.2,30782,IS3Q.XETRA
2024-11-18,66.1,66.18,65.75,66.18,66.18,19343,IS3Q.XETRA
2024-11-19,66.19,66.2,65.44,66.04,66.04,32709,IS3Q.XETRA
2024-11-20,66.37,66.49,66.0,66.16,66.16,31077,IS3Q.XETRA
2024-11-21,66.47,67.07,66.24,67.05,67.05,30237,IS3Q.XETRA
2024-11-22,67.26,68.12,67.24,67.92,67.92,29178,IS3Q.XETRA
2024-11-25,68.03,68.08,67.64,67.78,67.78,27891,IS3Q.XETRA
2024-11-26,67.79,68.07,67.57,68.02,68.02,28798,IS3Q.XETRA
2024-11-27,67.93,67.97,67.43,67.5,67.5,28897,IS3Q.XETRA
2024-11-28,67.86,67.92,67.68,67.75,67.75,21035,IS3Q.XETRA
2024-11-29,67.69,68.06,67.63,68.04,68.04,30091,IS3Q.XETRA
2024-12-02,68.19,68.65,68.11,68.61,68.61,38105,IS3Q.XETRA
2024-12-03,68.7,68.74,68.38,68.59,68.59,27429,IS3Q.XETRA
2024-12-04,68.72,69.05,68.59,68.7,68.7,109047,IS3Q.XETRA
2024-12-05,68.74,68.88,68.37,68.45,68.45,81983,IS3Q.XETRA
2024-12-06,68.31,68.75,68.18,68.57,68.57,44714,IS3Q.XETRA
2024-12-09,68.54,68.57,68.1,68.24,68.24,45984,IS3Q.XETRA
2024-12-10,68.26,68.5,68.21,68.46,68.46,23600,IS3Q.XETRA
2024-12-11,68.34,68.83,68.28,68.79,68.79,34805,IS3Q.XETRA
2024-12-12,68.49,69.0,68.33,68.52,68.52,43129,IS3Q.XETRA
2024-12-13,68.42,68.5,67.95,68.01,68.01,73721,IS3Q.XETRA
2024-12-16,67.9,68.2,67.81,68.06,68.06,40542,IS3Q.XETRA
2024-12-17,67.75,67.9,67.6,67.86,67.86,46570,IS3Q.XETRA
2024-12-18,67.89,68.12,67.77,68.03,68.03,29549,IS3Q.XETRA
2024-12-19,66.77,67.17,66.68,67.01,67.01,60487,IS3Q.XETRA
2024-12-20,66.47,66.94,65.7,66.94,66.94,90866,IS3Q.XETRA
2024-12-23,66.97,67.04,66.66,66.73,66.73,32574,IS3Q.XETRA
2024-12-27,67.42,67.56,66.94,67.08,67.08,35046,IS3Q.XETRA
2024-12-30,66.97,67.09,66.46,66.46,66.46,30154,IS3Q.XETRA
2025-01-02,67.07,67.79,66.93,67.65,67.65,59680,IS3Q.XETRA
2025-01-03,67.24,67.41,67.05,67.37,67.37,28630,IS3Q.XETRA
2025-01-06,67.38,67.69,67.2,67.66,67.66,52596,IS3Q.XETRA
2025-01-07,67.16,67.65,67.07,67.27,67.27,43628,IS3Q.XETRA
2025-01-08,67.37,67.6,67.17,67.45,67.45,29727,IS3Q.XETRA
2025-01-09,67.33,67.56,67.3,67.56,67.56,60548,IS3Q.XETRA
2025-01-10,67.48,67.56,66.85,66.96,66.96,35138,IS3Q.XETRA
2025-01-13,66.84,66.92,66.47,66.77,66.77,47669,IS3Q.XETRA
2025-01-14,67.1,67.15,66.38,66.44,66.44,58195,IS3Q.XETRA
2025-01-15,66.56,67.61,66.56,67.54,67.54,29973,IS3Q.XETRA
2025-01-16,67.87,67.96,67.65,67.78,67.78,52290,IS3Q.XETRA
2025-01-17,67.87,68.31,67.8,68.19,68.19,32848,IS3Q.XETRA
2025-01-20,68.03,68.05,67.55,67.66,67.66,54110,IS3Q.XETRA
2025-01-21,67.69,68.02,67.69,67.76,67.76,39597,IS3Q.XETRA
2025-01-22,68.09,68.43,67.96,68.43,68.43,42052,IS3Q.XETRA
2025-01-23,68.3,68.45,68.15,68.37,68.37,45550,IS3Q.XETRA
2025-01-24,68.3,68.35,68.0,68.06,68.06,60917,IS3Q.XETRA
2025-01-27,67.41,67.51,66.65,67.29,67.29,103603,IS3Q.XETRA
2025-01-28,67.91,68.28,67.8,68.08,68.08,45746,IS3Q.XETRA
2025-01-29,68.53,68.69,68.33,68.37,68.37,61848,IS3Q.XETRA
2025-01-30,68.57,68.85,68.36,68.63,68.63,37236,IS3Q.XETRA
2025-01-31,69.12,69.47,69.12,69.15,69.15,36691,IS3Q.XETRA
2025-02-03,68.49,68.69,68.18,68.69,68.69,78353,IS3Q.XETRA
2025-02-04,68.45,68.59,68.18,68.56,68.56,48570,IS3Q.XETRA
2025-02-05,68.14,68.3,68.0,68.29,68.29,38497,IS3Q.XETRA
2025-02-06,68.99,69.23,68.98,69.09,69.09,27427,IS3Q.XETRA
2025-02-07,68.98,69.1,68.75,68.88,68.88,50260,IS3Q.XETRA
2025-02-10,69.03,69.36,68.94,69.26,69.26,33887,IS3Q.XETRA
2025-02-11,69.21,69.24,69.02,69.15,69.15,55205,IS3Q.XETRA
2025-02-12,69.08,69.09,68.55,68.69,68.69,36458,IS3Q.XETRA
2025-02-13,68.76,69.13,68.64,69.08,69.08,30725,IS3Q.XETRA
2025-02-14,69.16,69.16,68.75,68.77,68.77,21200,IS3Q.XETRA
2025-02-17,68.92,69.11,68.88,69.07,69.07,64740,IS3Q.XETRA
2025-02-18,69.15,69.33,68.96,69.02,69.02,67744,IS3Q.XETRA
2025-02-19,69.22,69.33,69.04,69.32,69.32,20820,IS3Q.XETRA
2025-02-20,69.21,69.33,68.87,68.87,68.87,24659,IS3Q.XETRA
2025-02-21,69.0,69.29,68.75,68.97,68.97,37308,IS3Q.XETRA
2025-02-24,68.48,68.71,68.12,68.39,68.39,35431,IS3Q.XETRA
2025-02-25,68.15,68.27,67.45,67.6,67.6,60175,IS3Q.XETRA
2025-02-26,68.11,68.41,67.99,68.25,68.25,55900,IS3Q.XETRA
2025-02-27,68.21,68.5,67.92,68.37,68.37,28671,IS3Q.XETRA
2025-02-28,67.65,67.84,67.43,67.74,67.74,29549,IS3Q.XETRA
2025-03-03,68.47,68.48,67.79,67.91,67.91,53365,IS3Q.XETRA
2025-03-04,67.13,67.21,65.91,66.06,66.06,50640,IS3Q.XETRA
2025-03-05,65.9,65.99,64.75,64.86,64.86,63243,IS3Q.XETRA
2025-03-06,65.28,65.33,64.49,64.94,64.94,62600,IS3Q.XETRA
2025-03-07,64.44,64.49,63.83,63.83,63.83,50950,IS3Q.XETRA
2025-03-10,64.44,64.49,63.55,63.74,63.74,45684,IS3Q.XETRA
2025-03-11,63.25,63.28,62.05,62.19,62.19,204555,IS3Q.XETRA
2025-03-12,62.39,62.92,61.87,62.48,62.48,85551,IS3Q.XETRA
2025-03-13,62.25,62.68,61.89,61.99,61.99,90917,IS3Q.XETRA
2025-03-14,62.1,62.73,61.97,62.58,62.58,43183,IS3Q.XETRA
2025-03-17,62.56,63.09,62.43,62.81,62.81,94577,IS3Q.XETRA
2025-03-18,62.96,63.15,62.34,62.46,62.46,56900,IS3Q.XETRA
2025-03-19,62.58,63.13,62.55,63.09,63.09,50873,IS3Q.XETRA
