date,open,high,low,close,adjusted_close,volume,ticker
2024-09-12,534.36,535.0,530.3,532.82,532.82,24238,SXR8.XETRA
2024-09-13,534.76,536.92,533.72,536.92,536.92,14247,SXR8.XETRA
2024-09-16,535.04,535.86,532.64,533.84,533.84,44103,SXR8.XETRA
2024-09-17,536.0,539.2,535.62,538.14,538.14,19496,SXR8.XETRA
2024-09-18,537.0,537.0,534.82,535.52,535.52,16021,SXR8.XETRA
2024-09-19,539.34,544.14,538.7,542.06,542.06,31642,SXR8.XETRA
2024-09-20,540.34,541.38,538.5,539.72,539.72,23766,SXR8.XETRA
2024-09-23,541.04,544.54,541.0,543.44,543.44,20737,SXR8.XETRA
2024-09-24,545.0,545.26,540.5,542.84,542.84,26264,SXR8.XETRA
2024-09-25,540.56,543.48,540.3,543.38,543.38,20299,SXR8.XETRA
2024-09-26,546.6,548.52,542.58,542.66,542.66,23609,SXR8.XETRA
2024-09-27,545.38,546.0,543.5,544.86,544.86,21187,SXR8.XETRA
2024-09-30,542.98,544.5,540.16,544.2,544.2,29754,SXR8.XETRA
2024-10-01,547.34,550.14,543.0,545.68,545.68,67825,SXR8.XETRA
2024-10-02,544.82,547.88,543.04,547.72,547.72,24061,SXR8.XETRA
2024-10-03,546.62,548.58,544.54,547.54,547.54,25064,SXR8.XETRA
2024-10-04,546.7,555.28,546.4,551.0,551.0,34426,SXR8.XETRA
2024-10-07,554.0,554.0,551.5,553.06,553.06,47021,SXR8.XETRA
2024-10-08,548.46,554.2,548.1,553.84,553.84,33752,SXR8.XETRA
2024-10-09,553.98,558.84,553.42,558.84,558.84,32300,SXR8.XETRA
2024-10-10,560.18,561.0,557.9,560.2,560.2,28545,SXR8.XETRA
2024-10-11,559.28,562.7,557.7,561.74,561.74,31243,SXR8.XETRA
2024-10-14,563.08,568.3,562.82,567.08,567.08,26260,SXR8.XETRA
2024-10-15,569.92,570.26,566.12,567.14,567.14,45617,SXR8.XETRA
2024-10-16,566.12,567.38,564.4,566.82,566.82,29553,SXR8.XETRA
2024-10-17,570.6,575.58,570.3,572.38,572.38,34874,SXR8.XETRA
2024-10-18,571.0,572.08,569.72,571.14,571.14,29304,SXR8.XETRA
2024-10-21,571.72,572.54,569.5,569.82,569.82,29447,SXR8.XETRA
2024-10-22,571.32,572.14,569.4,571.68,571.68,22767,SXR8.XETRA
2024-10-23,573.78,574.54,570.02,570.34,570.34,30994,SXR8.XETRA
2024-10-24,570.78,572.18,568.78,568.98,568.98,21910,SXR8.XETRA
2024-10-25,568.96,572.88,568.42,571.68,571.68,33049,SXR8.XETRA
2024-10-28,572.12,572.48,569.9,570.1,570.1,29186,SXR8.XETRA
2024-10-29,570.56,572.2,569.5,571.26,571.26,21989,SXR8.XETRA
2024-10-30,572.0,572.1,568.04,569.42,569.42,22450,SXR8.XETRA
2024-10-31,562.92,563.74,557.86,558.66,558.66,75976,SXR8.XETRA
2024-11-01,557.42,562.68,556.4,561.74,561.74,50575,SXR8.XETRA
2024-11-04,557.48,557.96,554.52,556.38,556.38,50010,SXR8.XETRA
2024-11-05,556.56,560.0,555.32,559.4,559.4,51303,SXR8.XETRA
2024-11-06,581.04,586.72,579.58,582.46,582.46,100503,SXR8.XETRA
2024-11-07,584.58,585.58,582.48,585.46,585.46,53671,SXR8.XETRA
2024-11-08,588.06,591.94,585.24,591.94,591.94,34928,SXR8.XETRA
2024-11-11,595.42,599.12,595.22,597.6,597.6,70160,SXR8.XETRA
2024-11-12,597.54,599.24,596.96,597.96,597.96,45345,SXR8.XETRA
2024-11-13,596.28,600.66,593.98,600.66,600.66,275926,SXR8.XETRA
2024-11-14,600.94,604.76,597.88,599.08,599.08,173107,SXR8.XETRA
2024-11-15,594.06,594.66,590.18,590.18,590.18,44608,SXR8.XETRA
2024-11-18,590.22,591.78,587.98,591.78,591.78,265018,SXR8.XETRA
2024-11-19,591.3,592.26,584.28,591.42,591.42,48939,SXR8.XETRA
2024-11-20,594.08,595.32,589.76,591.74,591.74,219633,SXR8.XETRA
2024-11-21,594.22,600.18,592.32,599.36,599.36,34346,SXR8.XETRA
2024-11-22,601.14,609.0,600.84,606.76,606.76,45431,SXR8.XETRA
2024-11-25,607.46,607.9,603.46,605.14,605.14,49825,SXR8.XETRA
2024-11-26,605.2,608.24,602.82,607.64,607.64,157224,SXR8.XETRA
2024-11-27,607.04,607.18,600.8,601.3,601.3,35915,SXR8.XETRA
2024-11-28,604.36,604.72,603.02,604.06,604.06,160635,SXR8.XETRA
2024-11-29,603.1,606.04,602.64,605.88,605.88,70434,SXR8.XETRA
2024-12-02,608.1,612.14,606.58,611.0,611.0,183252,SXR8.XETRA
2024-12-03,610.46,610.62,607.96,609.34,609.34,74033,SXR8.XETRA
2024-12-04,611.06,614.26,609.8,611.36,611.36,281049,SXR8.XETRA
2024-12-05,611.64,612.92,609.18,610.34,610.34,113794,SXR8.XETRA
2024-12-06,608.64,612.8,606.74,610.74,610.74,197853,SXR8.XETRA
2024-12-09,611.46,611.78,606.0,608.02,608.02,114010,SXR8.XETRA
2024-12-10,608.46,612.06,608.06,611.1,611.1,44408,SXR8.XETRA
2024-12-11,610.0,614.82,609.0,614.72,614.72,43671,SXR8.XETRA
2024-12-12,613.22,615.6,611.5,613.5,613.5,33266,SXR8.XETRA
2024-12-13,614.7,615.08,609.66,611.44,611.44,31454,SXR8.XETRA
2024-12-16,610.78,614.24,610.08,613.18,613.18,52944,SXR8.XETRA
2024-12-17,611.94,613.16,609.28,611.6,611.6,34593,SXR8.XETRA
2024-12-18,612.34,614.7,610.64,613.74,613.74,32532,SXR8.XETRA
2024-12-19,600.48,605.24,599.26,603.76,603.76,93786,SXR8.XETRA
2024-12-20,598.02,606.42,591.64,606.42,606.42,85596,SXR8.XETRA
2024-12-23,606.52,607.18,602.62,604.8,604.8,48164,SXR8.XETRA
2024-12-27,612.62,613.24,605.0,607.08,607.08,55294,SXR8.XETRA
2024-12-30,605.88,607.3,600.14,600.78,600.78,42396,SXR8.XETRA
2025-01-02,605.68,611.0,604.82,610.76,610.76,92989,SXR8.XETRA
2025-01-03,607.08,610.42,605.4,610.42,610.42,47886,SXR8.XETRA
2025-01-06,611.04,614.5,608.4,613.68,613.68,51279,SXR8.XETRA
2025-01-07,608.26,612.24,606.76,607.56,607.56,67173,SXR8.XETRA
