date,open,high,low,close,adjusted_close,volume,ticker
2024-11-11,89.19,89.59,88.39,88.59,88.59,67663,XDWT.XETRA
2024-11-12,88.77,89.69,88.68,89.6,89.6,42722,XDWT.XETRA
2024-11-13,89.34,89.72,88.92,89.7,89.7,44441,XDWT.XETRA
2024-11-14,89.71,90.39,89.57,89.9,89.9,34778,XDWT.XETRA
2024-11-15,89.18,89.29,87.82,87.82,87.82,43261,XDWT.XETRA
2024-11-18,87.96,88.17,86.89,88.0,88.0,45630,XDWT.XETRA
2024-11-19,87.92,88.03,86.59,88.03,88.03,35257,XDWT.XETRA
2024-11-20,88.84,89.16,87.74,88.18,88.18,30126,XDWT.XETRA
2024-11-21,88.48,90.34,88.0,89.84,89.84,70627,XDWT.XETRA
2024-11-22,89.85,90.88,89.84,90.18,90.18,48631,XDWT.XETRA
2024-11-25,90.6,90.61,89.28,89.72,89.72,45209,XDWT.XETRA
2024-11-26,89.67,90.24,89.26,90.08,90.08,26573,XDWT.XETRA
2024-11-27,89.77,89.84,87.87,87.96,87.96,27241,XDWT.XETRA
2024-11-28,89.23,89.29,88.9,89.02,89.02,21107,XDWT.XETRA
2024-11-29,88.92,89.72,88.63,89.6,89.6,14901,XDWT.XETRA
2024-12-02,89.86,91.25,89.39,91.09,91.09,93343,XDWT.XETRA
2024-12-03,91.03,91.14,90.41,91.0,91.0,48477,XDWT.XETRA
2024-12-04,91.97,92.91,91.87,92.62,92.62,71901,XDWT.XETRA
2024-12-05,92.74,93.07,92.27,92.65,92.65,81979,XDWT.XETRA
2024-12-06,92.25,93.17,91.98,92.68,92.68,45331,XDWT.XETRA
2024-12-09,92.7,92.86,91.6,92.09,92.09,54966,XDWT.XETRA
2024-12-10,91.91,92.73,91.81,91.89,91.89,50810,XDWT.XETRA
2024-12-11,91.6,92.9,91.46,92.86,92.86,46822,XDWT.XETRA
2024-12-12,92.51,92.91,92.04,92.54,92.54,73895,XDWT.XETRA
2024-12-13,93.21,93.66,92.14,92.44,92.44,59819,XDWT.XETRA
2024-12-16,92.7,93.3,92.46,92.97,92.97,57213,XDWT.XETRA
2024-12-17,93.08,93.42,92.44,93.25,93.25,43741,XDWT.XETRA
2024-12-18,93.51,94.1,93.25,93.81,93.81,64203,XDWT.XETRA
2024-12-19,91.59,92.47,91.4,92.43,92.43,64952,XDWT.XETRA
2024-12-20,91.17,92.75,89.7,92.75,92.75,108551,XDWT.XETRA
2024-12-23,93.18,93.4,92.7,93.04,93.04,38170,XDWT.XETRA
2024-12-27,94.24,94.34,92.38,92.88,92.88,44519,XDWT.XETRA
2024-12-30,92.88,93.08,91.84,91.95,91.95,25491,XDWT.XETRA
2025-01-02,92.56,93.39,91.94,93.22,93.22,147444,XDWT.XETRA
2025-01-03,92.71,93.53,92.42,93.43,93.43,45926,XDWT.XETRA
2025-01-06,93.8,95.33,93.76,95.0,95.0,102035,XDWT.XETRA
2025-01-07,94.26,95.05,92.99,93.3,93.3,80756,XDWT.XETRA
2025-01-08,93.19,93.63,92.58,93.11,93.11,62264,XDWT.XETRA
2025-01-09,92.54,93.0,92.52,92.95,92.95,36739,XDWT.XETRA
2025-01-10,92.69,93.09,90.96,91.31,91.31,69211,XDWT.XETRA
2025-01-13,91.26,91.3,90.12,90.5,90.5,65303,XDWT.XETRA
2025-01-14,91.4,91.65,90.17,90.3,90.3,52440,XDWT.XETRA
2025-01-15,90.26,92.26,90.21,92.04,92.04,67383,XDWT.XETRA
2025-01-16,93.33,93.52,92.04,92.04,92.04,105163,XDWT.XETRA
2025-01-17,91.77,93.36,91.66,92.95,92.95,45233,XDWT.XETRA
2025-01-20,92.81,92.95,92.15,92.5,92.5,47645,XDWT.XETRA
2025-01-21,92.23,92.92,91.5,91.75,91.75,83650,XDWT.XETRA
2025-01-22,93.23,94.27,93.03,94.27,94.27,32455,XDWT.XETRA
2025-01-23,94.12,94.34,93.65,94.14,94.14,68984,XDWT.XETRA
2025-01-24,93.89,94.48,93.25,93.41,93.41,58511,XDWT.XETRA
2025-01-27,89.67,89.72,86.43,87.71,87.71,169391,XDWT.XETRA
2025-01-28,89.45,90.39,88.29,90.39,90.39,83297,XDWT.XETRA
2025-01-29,92.23,92.38,90.25,90.45,90.45,71169,XDWT.XETRA
2025-01-30,90.79,91.05,89.36,89.7,89.7,65567,XDWT.XETRA
2025-01-31,91.38,92.22,91.38,91.78,91.78,63659,XDWT.XETRA
2025-02-03,89.96,90.0,88.58,89.34,89.34,169676,XDWT.XETRA
2025-02-04,89.32,90.2,88.84,90.09,90.09,44015,XDWT.XETRA
2025-02-05,89.68,90.44,89.03,90.44,90.44,41233,XDWT.XETRA
2025-02-06,91.46,92.03,91.33,91.67,91.67,31707,XDWT.XETRA
2025-02-07,92.12,92.61,91.45,91.58,91.58,61464,XDWT.XETRA
2025-02-10,92.09,93.19,91.85,93.11,93.11,34637,XDWT.XETRA
2025-02-11,92.57,93.24,92.17,93.11,93.11,45254,XDWT.XETRA
2025-02-12,92.59,92.77,91.46,92.04,92.04,28517,XDWT.XETRA
2025-02-13,92.35,93.36,91.95,93.14,93.14,54969,XDWT.XETRA
2025-02-14,93.23,93.26,92.61,92.9,92.9,27099,XDWT.XETRA
2025-02-17,93.87,93.97,93.6,93.78,93.78,61310,XDWT.XETRA
2025-02-18,94.16,94.55,93.68,94.09,94.09,32670,XDWT.XETRA
2025-02-19,94.38,94.62,93.7,94.52,94.52,20465,XDWT.XETRA
2025-02-20,94.13,94.47,93.15,93.5,93.5,28789,XDWT.XETRA
2025-02-21,93.59,94.29,93.2,93.5,93.5,35565,XDWT.XETRA
2025-02-24,91.89,92.44,90.43,91.13,91.13,82651,XDWT.XETRA
2025-02-25,90.02,90.36,88.1,88.54,88.54,53444,XDWT.XETRA
2025-02-26,89.61,90.34,89.25,90.19,90.19,58499,XDWT.XETRA
2025-02-27,89.93,90.94,88.61,89.7,89.7,59601,XDWT.XETRA
2025-02-28,87.22,87.6,85.79,87.23,87.23,114155,XDWT.XETRA
2025-03-03,88.49,88.53,86.28,86.75,86.75,178468,XDWT.XETRA
2025-03-04,84.81,85.07,83.05,83.58,83.58,160082,XDWT.XETRA
2025-03-05,84.23,84.34,82.04,82.1,82.1,154635,XDWT.XETRA
2025-03-06,83.19,83.27,81.57,82.33,82.33,95331,XDWT.XETRA
2025-03-07,81.6,81.98,80.41,80.41,80.41,111305,XDWT.XETRA
2025-03-10,81.49,81.51,78.22,78.81,78.81,132694,XDWT.XETRA
2025-03-11,78.09,78.5,77.0,77.66,77.66,161345,XDWT.XETRA
2025-03-12,77.97,79.73,77.82,79.51,79.51,55984,XDWT.XETRA
2025-03-13,78.53,79.38,78.06,78.28,78.28,83568,XDWT.XETRA
2025-03-14,78.6,80.09,78.41,79.79,79.79,159456,XDWT.XETRA
2025-03-17,79.62,80.5,79.25,79.41,79.41,181206,XDWT.XETRA
