date,open,high,low,close,adjusted_close,volume,ticker
2024-11-11,81.45,82.98,81.42,82.86,82.483,10878,XUCD.XETRA
2024-11-12,83.23,83.27,82.31,82.31,81.9355,995,XUCD.XETRA
2024-11-13,81.78,83.1,81.78,83.1,82.7219,3941,XUCD.XETRA
2024-11-14,83.45,83.71,82.62,82.66,82.2839,1991,XUCD.XETRA
2024-11-15,81.44,81.71,81.1,81.35,80.9799,929,XUCD.XETRA
2024-11-18,81.85,82.51,81.85,82.13,81.7563,1738,XUCD.XETRA
2024-11-19,81.85,81.9,80.7,81.9,81.5274,1313,XUCD.XETRA
2024-11-20,82.21,82.21,81.36,81.36,80.9899,526,XUCD.XETRA
2024-11-21,81.67,82.4,81.65,82.02,81.6468,4743,XUCD.XETRA
2024-11-22,82.52,84.14,82.52,83.84,83.4586,1650,XUCD.XETRA
2024-11-25,84.34,84.83,83.89,84.58,84.1952,4090,XUCD.XETRA
2024-11-26,84.11,84.67,83.8,84.67,84.2848,361,XUCD.XETRA
2024-11-27,84.79,84.79,83.6,83.6,83.2197,1102,XUCD.XETRA
2024-11-28,83.97,84.16,83.89,84.03,83.6477,83,XUCD.XETRA
2024-11-29,83.83,84.1,83.83,84.1,83.7174,1457,XUCD.XETRA
2024-12-02,85.16,86.05,85.06,85.85,85.4594,7961,XUCD.XETRA
2024-12-03,85.84,85.84,85.3,85.51,85.121,3529,XUCD.XETRA
2024-12-04,86.02,86.46,86.02,86.28,85.8875,817,XUCD.XETRA
2024-12-05,86.41,87.23,86.4,87.1,86.7037,1771,XUCD.XETRA
2024-12-06,87.12,88.54,87.05,88.46,88.0575,9620,XUCD.XETRA
2024-12-09,89.84,89.97,88.8,88.8,88.396,1316,XUCD.XETRA
2024-12-10,89.1,89.98,89.0,89.89,89.481,2172,XUCD.XETRA
2024-12-11,89.65,91.04,89.65,90.88,90.4665,3297,XUCD.XETRA
2024-12-12,91.33,91.46,90.6,91.03,90.6159,1549,XUCD.XETRA
2024-12-13,91.2,91.2,90.36,90.64,90.2276,4142,XUCD.XETRA
2024-12-16,91.03,92.04,90.88,92.04,91.6213,2615,XUCD.XETRA
2024-12-17,92.68,92.79,91.99,92.42,91.9995,829,XUCD.XETRA
2024-12-18,92.25,92.79,91.8,92.74,92.3181,1681,XUCD.XETRA
2024-12-19,89.62,90.29,89.25,89.71,89.3019,14792,XUCD.XETRA
2024-12-20,88.63,90.06,86.64,90.06,89.6503,2140,XUCD.XETRA
2024-12-23,90.14,90.14,88.75,89.4,88.9933,1166,XUCD.XETRA
2024-12-27,90.84,90.84,89.03,89.37,88.9634,1851,XUCD.XETRA
2024-12-30,89.2,89.2,87.77,88.24,87.8386,798,XUCD.XETRA
2025-01-02,88.4,89.3,87.39,88.45,88.0476,1660,XUCD.XETRA
2025-01-03,88.6,88.87,87.59,88.87,88.4657,1939,XUCD.XETRA
2025-01-06,89.44,89.76,89.19,89.19,88.7842,2940,XUCD.XETRA
2025-01-07,89.0,89.0,87.84,87.84,87.4404,11958,XUCD.XETRA
2025-01-08,87.82,88.2,87.7,88.0,87.5996,2072,XUCD.XETRA
2025-01-09,87.99,88.09,87.99,88.09,87.6892,476,XUCD.XETRA
2025-01-10,88.2,88.38,87.2,87.63,87.2313,3451,XUCD.XETRA
2025-01-13,87.55,87.97,87.06,87.57,87.1716,8651,XUCD.XETRA
2025-01-14,88.8,89.34,87.95,88.17,87.7689,7479,XUCD.XETRA
2025-01-15,87.61,89.76,87.6,89.55,89.1426,930,XUCD.XETRA
2025-01-16,90.32,90.38,89.54,89.6,89.1924,1294,XUCD.XETRA
2025-01-17,89.87,91.15,89.66,91.14,90.7254,868,XUCD.XETRA
2025-01-20,91.23,91.23,90.33,90.33,89.919,1983,XUCD.XETRA
2025-01-21,90.9,91.35,89.67,90.25,89.8394,2032,XUCD.XETRA
2025-01-22,90.76,91.11,90.3,91.07,90.6557,1914,XUCD.XETRA
2025-01-23,90.7,90.8,90.4,90.51,90.0982,1856,XUCD.XETRA
2025-01-24,90.55,90.73,89.97,90.03,89.6204,1073,XUCD.XETRA
