Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2024-04-08T08:55:43.719310Z,,CASH TOP-UP,,,€150,EUR,0.0396
2024-04-08T13:30:03.633Z,EXI2,BUY - MARKET,0.43552857,€75.77,€33,EUR,0.0396
2024-04-08T13:30:03.998Z,IS3Q,BUY - MARKET,0.52613996,€59.87,€31.50,EUR,0.0396
2024-04-08T13:30:04.163Z,AMEM,BUY - MARKET,1.57051617,€4.78,€7.50,EUR,0.0396
2024-04-08T13:30:04.176Z,XDWT,BUY - MARKET,0.40650406,€73.80,€30,EUR,0.0396
2024-04-08T13:30:04.180Z,DBXJ,BUY - MARKET,0.09982709,€75.13,€7.50,EUR,0.0396
2024-04-08T13:30:04.268Z,IS3K,BUY - MARKET,0.18648598,€80.44,€15,EUR,0.0396
2024-04-08T13:30:04.362Z,EXW1,BUY - MARKET,0.14746362,€50.86,€7.50,EUR,0.0396
2024-04-08T13:30:04.631Z,XUCD,BUY - MARKET,0.22378039,€67.03,€15,EUR,0.0396
2024-05-08T00:20:54.578433Z,,ROBO MANAGEMENT FEE,,,-€0.08,EUR,0.0401
2024-06-07T11:48:35.378918Z,,CASH TOP-UP,,,€18,EUR,0.0408
2024-06-08T00:28:11.174320Z,,ROBO MANAGEMENT FEE,,,-€0.08,EUR,0.0407
2024-06-10T09:30:05.473Z,XUCD,BUY - MARKET,0.03792113,€66.19,€2.51,EUR,0.0408
2024-06-10T09:30:07.145Z,AMEM,BUY - MARKET,0.19206407,€4.89,€0.94,EUR,0.0408
2024-06-10T09:30:07.267Z,EXW1,BUY - MARKET,0.01957713,€51.08,€1,EUR,0.0408
2024-06-10T09:30:09.570Z,DBXJ,BUY - MARKET,0.01709427,€74.29,€1.27,EUR,0.0408
2024-06-10T09:30:17.912Z,XDWT,BUY - MARKET,0.03121067,€79.46,€2.48,EUR,0.0408
2024-06-10T09:30:28.592Z,IS3K,BUY - MARKET,0.02629294,€81.77,€2.15,EUR,0.0408
2024-06-10T09:30:28.982Z,IS3Q,BUY - MARKET,0.05793612,€62.31,€3.61,EUR,0.0408
2024-06-10T09:30:36.317Z,EXI2,BUY - MARKET,0.04371242,€79.84,€3.49,EUR,0.0408
2024-06-13T07:12:15.924956Z,,CASH TOP-UP,,,€224,EUR,0.0407
2024-06-13T09:30:05.375Z,XUCD,BUY - MARKET,0.33412816,€67.10,€22.42,EUR,0.0407
2024-06-13T09:30:07.371Z,DBXJ,BUY - MARKET,0.15767254,€72.75,€11.47,EUR,0.0407
2024-06-13T09:30:13.791Z,AMEM,BUY - MARKET,2.28607297,€4.94,€11.29,EUR,0.0407
2024-06-13T09:30:14.908Z,EXW1,BUY - MARKET,0.22202693,€51.21,€11.37,EUR,0.0407
2024-06-13T09:31:38.964Z,IS3Q,BUY - MARKET,0.75019875,€62.89,€47.18,EUR,0.0407
2024-06-13T09:31:39.271Z,EXI2,BUY - MARKET,0.60159802,€81.35,€48.94,EUR,0.0407
2024-06-13T09:31:49.243Z,XDWT,BUY - MARKET,0.52263176,€83.29,€43.53,EUR,0.0407
2024-06-13T09:31:55.038Z,IS3K,BUY - MARKET,0.29191003,€79.27,€23.14,EUR,0.0407
2024-06-18T15:24:04.494166Z,EXW1,DIVIDEND,,,€0.21,EUR,0.0404
2024-06-20T15:02:19.491093Z,EXI2,DIVIDEND,,,€0.26,EUR,0.0403
2024-06-28T16:44:18.347493Z,IS3K,DIVIDEND,,,€0.54,EUR,0.0401
2024-07-08T00:34:42.466675Z,,ROBO MANAGEMENT FEE,,,-€0.19,EUR,0.0400
2024-08-08T00:49:05.552250Z,,ROBO MANAGEMENT FEE,,,-€0.21,EUR,0.0397
2024-09-06T15:05:34.982093Z,XUCD,DIVIDEND,,,€0.11,EUR,0.0401
2024-09-08T00:29:58.078864Z,,ROBO MANAGEMENT FEE,,,-€0.21,EUR,0.0401
2024-09-18T09:15:33.401301Z,EXW1,DIVIDEND,,,€0.23,EUR,0.0400
2024-10-08T00:46:44.493558Z,,ROBO MANAGEMENT FEE,,,-€0.20,EUR,0.0396
2024-10-23T08:11:27.381436Z,,CASH TOP-UP,,,€341.50,EUR,0.0397
2024-10-23T13:30:05.049Z,XUCD,BUY - MARKET,0.4510832,€72.47,€32.69,EUR,0.0397
2024-10-23T13:30:06.281Z,XDWT,BUY - MARKET,0.78730268,€86.79,€68.33,EUR,0.0397
